"","step_1","step_2","step_3","step_4","step_5","step_6","step_7","step_8","step_9","step_10","step_11","step_12","step_13","step_14","step_15","step_16","step_17","step_18","step_19","step_20","step_21","step_22","step_23","step_24","step_25","step_26","step_27","step_28","step_29","step_30","step_31","step_32","step_33","step_34","step_35","step_36","step_37","step_38","step_39","step_40","step_41","step_42","step_43","step_44","step_45","step_46","step_47","step_48","step_49","step_50","step_51","step_52","step_53","step_54","step_55","step_56","step_57","step_58","step_59","step_60","step_61","step_62","step_63","step_64","step_65","step_66","step_67","step_68","step_69","step_70","step_71","step_72","step_73","step_74","step_75","step_76","step_77","step_78","step_79","step_80","step_81","step_82","step_83","step_84","step_85","step_86","step_87","step_88","step_89","step_90","step_91","step_92","step_93","step_94","step_95","step_96","step_97","step_98","step_99","step_100"
"0.0633784492965788x0.78011528798379",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.814787197625265x0.742717183660716",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.00898057734593749x0.278659239877015",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.315859562484547x0.37092238268815",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.148590536788106x0.207991234492511",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.335297031793743x0.143977500032634",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.268789505818859x0.129070661962032",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.0853715976700187x0.229343614540994",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.399575440911576x0.0741674364544451",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.0374176818877459x0.832758099306375",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.393936516251415x0.00355375953949988",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.821630446938798x0.474005976924673",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.88152779173106x0.803797148168087",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.145523565122858x0.614754897542298",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.0457748966291547x0.687523072119802",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.212576251244172x0.026101557072252",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.70361712295562x0.858976035611704",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.476059139240533x0.99718722794205",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.535460097715259x0.835792999248952",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.341778803616762x0.198520147940144",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.164365409407765x0.575863322941586",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.858818300999701x0.791844534222037",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.545121072325855x0.728776317788288",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.233590277377516x0.361141438130289",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.16777179739438x0.610818104352802",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.376305010868236x0.689181552501395",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.571955956052989x0.270963098155335",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.992733232211322x0.350018118275329",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.220147281885147x0.67285268404521",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.534584150649607x0.574615432880819",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.118302042596042x0.617614891845733",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.355149731272832x0.833568787202239",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.16024325392209x0.0393726294860244",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.315212041372433x0.721920261159539",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.339653925970197x0.303296885918826",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.389227637089789x0.12426874996163",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.417250166647136x0.855878277448937",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.232127892551944x0.559029137017205",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.0746361194178462x0.965207556961104",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.111666157143191x0.63641818263568",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.367258281679824x0.811110492097214",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.164652592269704x0.513264849083498",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.793479586951435x0.545619540615007",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.388815864454955x0.132667494937778",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.621134563582018x0.290186976781115",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.00887911883182824x0.669242024887353",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.352796894731x0.490630455315113",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.901321915676817x0.0637880333233625",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.0617130484897643x0.262621517991647",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.539155837148428x0.247433773940429",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.40529825608246x0.439587991219014",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.170077989343554x0.275521335192025",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.727205203380436x0.352352092508227",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.204548137262464x0.802872971864417",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.666735725710168x0.0997167443856597",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.765702987555414x0.423366453731433",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.957695229677483x0.955133326351643",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.0761093548499048x0.219024382764474",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.0929989942815155x0.474112256430089",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.281463784631342x0.0380892602261156",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.995089289499447x0.10272153117694",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.789462767774239x0.3209270585794",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
